               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,             0.01482,           0.0055219,           0.0013163,             0.97373,             0.97535,             0.97154,             0.85427,            0.012475,           0.0037022,           0.0041584,            0.006799,            0.006799,            0.006799
                  99,            0.014496,           0.0056594,           0.0012223,             0.98113,             0.98303,              0.9767,             0.82974,            0.013866,            0.004119,           0.0036458,            0.006766,            0.006766,            0.006766
                 100,            0.014399,           0.0054397,           0.0012212,             0.98276,             0.98113,             0.97882,             0.84961,            0.013074,           0.0038813,           0.0038217,            0.006733,            0.006733,            0.006733
                 101,            0.014385,           0.0056276,           0.0012277,             0.98272,              0.9761,              0.9788,             0.84971,            0.012888,           0.0040264,           0.0038175,              0.0067,              0.0067,              0.0067
                 102,             0.01416,           0.0056522,           0.0011491,             0.97598,             0.97486,              0.9754,             0.85488,            0.012832,           0.0038947,           0.0047717,            0.006667,            0.006667,            0.006667
                 103,            0.014123,           0.0053837,           0.0011516,             0.97876,             0.98115,             0.97758,             0.85508,            0.012641,           0.0040458,           0.0038082,            0.006634,            0.006634,            0.006634
                 104,            0.014057,           0.0053376,           0.0011806,             0.97909,             0.97611,             0.97503,             0.84629,            0.013184,           0.0038382,            0.004051,            0.006601,            0.006601,            0.006601
                 105,            0.014386,           0.0058189,           0.0013741,             0.97711,             0.97249,             0.97469,              0.8434,            0.012832,           0.0039711,           0.0042942,            0.006568,            0.006568,            0.006568
                 106,            0.014636,           0.0056879,           0.0012558,             0.97296,             0.97577,             0.97734,             0.86793,            0.012226,           0.0037681,           0.0038594,            0.006535,            0.006535,            0.006535
                 107,            0.013963,           0.0054739,           0.0011611,             0.97273,             0.97584,             0.97631,             0.85077,            0.013008,           0.0038629,           0.0038456,            0.006502,            0.006502,            0.006502
                 108,            0.014282,           0.0054155,           0.0012499,             0.98065,             0.97976,             0.98165,             0.85748,            0.013045,           0.0040112,           0.0031162,            0.006469,            0.006469,            0.006469
                 109,            0.013993,           0.0053715,           0.0011501,             0.97705,             0.98407,             0.98092,             0.84075,            0.013567,           0.0039107,            0.003788,            0.006436,            0.006436,            0.006436
                 110,            0.014445,           0.0057287,           0.0011473,             0.97462,             0.98429,             0.97667,             0.86747,            0.012016,           0.0038097,            0.003863,            0.006403,            0.006403,            0.006403
                 111,            0.013891,           0.0054745,           0.0010714,             0.97099,             0.98429,               0.982,             0.85098,            0.012563,           0.0040594,           0.0035629,             0.00637,             0.00637,             0.00637
                 112,            0.013826,            0.005698,           0.0011006,              0.9767,             0.98429,             0.97893,             0.86442,            0.012522,           0.0038015,           0.0036117,            0.006337,            0.006337,            0.006337
