               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.018091,           0.0088005,            0.001865,              0.9751,             0.98164,             0.97823,             0.86191,           0.0098871,           0.0045285,           0.0042675,            0.007624,            0.007624,            0.007624
                  74,            0.018253,           0.0085887,           0.0017276,             0.97872,             0.98023,             0.98266,             0.84495,            0.011218,           0.0049996,           0.0037129,            0.007591,            0.007591,            0.007591
                  75,            0.018688,           0.0086125,           0.0017575,             0.98172,             0.98129,               0.981,             0.82908,            0.011607,            0.004822,             0.00402,            0.007558,            0.007558,            0.007558
                  76,            0.018846,           0.0084593,           0.0017694,             0.97396,             0.97742,             0.97553,             0.84962,            0.010066,           0.0047721,           0.0051291,            0.007525,            0.007525,            0.007525
                  77,            0.018425,           0.0086346,            0.001603,             0.97942,             0.97601,             0.97951,             0.84431,            0.010497,           0.0045516,           0.0040646,            0.007492,            0.007492,            0.007492
                  78,            0.018407,           0.0085014,           0.0017969,             0.98164,             0.97846,             0.97874,             0.84251,             0.01028,            0.004746,           0.0041832,            0.007459,            0.007459,            0.007459
                  79,            0.018358,           0.0086296,           0.0016452,             0.98041,               0.978,             0.97824,             0.83525,            0.010811,           0.0049667,           0.0042381,            0.007426,            0.007426,            0.007426
                  80,            0.018148,           0.0085099,           0.0016075,             0.98247,             0.98115,             0.98189,             0.84498,            0.010737,           0.0046666,           0.0037657,            0.007393,            0.007393,            0.007393
                  81,            0.017905,           0.0083519,           0.0017381,             0.97914,             0.98115,             0.97917,             0.84732,            0.010037,           0.0046284,           0.0039427,             0.00736,             0.00736,             0.00736
                  82,            0.018238,           0.0086293,           0.0015816,             0.97973,               0.978,             0.97973,             0.85138,            0.010138,           0.0045862,           0.0041048,            0.007327,            0.007327,            0.007327
                  83,            0.017921,           0.0082143,           0.0016059,             0.97832,             0.98256,             0.97836,             0.83368,            0.010667,           0.0046759,           0.0042152,            0.007294,            0.007294,            0.007294
                  84,            0.017896,           0.0084993,           0.0016591,             0.97523,             0.98077,             0.97881,              0.8291,            0.010833,           0.0046592,           0.0047201,            0.007261,            0.007261,            0.007261
                  85,            0.017628,            0.008455,           0.0016033,              0.9837,             0.98342,             0.98195,             0.84671,            0.010029,           0.0046539,           0.0037523,            0.007228,            0.007228,            0.007228
                  86,            0.018101,           0.0086799,           0.0016345,              0.9803,             0.97955,             0.98127,             0.84855,            0.010134,           0.0047069,           0.0039916,            0.007195,            0.007195,            0.007195
                  87,            0.017878,           0.0083328,           0.0016829,             0.97932,             0.98115,             0.97945,              0.8552,           0.0094351,           0.0047551,            0.003837,            0.007162,            0.007162,            0.007162
                  88,            0.017696,           0.0083243,           0.0016166,             0.98318,             0.98115,             0.98161,             0.85544,           0.0096147,           0.0045958,           0.0040032,            0.007129,            0.007129,            0.007129
                  89,            0.017521,           0.0083697,           0.0015756,             0.98075,              0.9834,             0.98033,             0.83798,            0.010562,           0.0046008,           0.0038963,            0.007096,            0.007096,            0.007096
                  90,            0.017859,           0.0085246,           0.0014968,             0.97193,             0.98128,             0.97663,             0.83784,             0.01038,           0.0047114,           0.0038867,            0.007063,            0.007063,            0.007063
                  91,            0.017372,            0.008309,           0.0016276,             0.98082,             0.97584,             0.98045,             0.86343,           0.0092815,           0.0044477,           0.0040624,             0.00703,             0.00703,             0.00703
                  92,            0.017313,           0.0081809,           0.0017209,             0.98335,             0.98092,             0.98258,             0.85357,            0.010117,           0.0044916,           0.0036784,            0.006997,            0.006997,            0.006997
                  93,            0.017372,           0.0082752,           0.0019096,             0.98056,             0.97486,             0.98277,             0.85357,           0.0099113,           0.0045397,            0.003885,            0.006964,            0.006964,            0.006964
                  94,            0.017502,           0.0080559,           0.0014492,             0.97968,             0.97882,             0.97922,             0.86754,           0.0093954,           0.0042875,           0.0048923,            0.006931,            0.006931,            0.006931
                  95,            0.017263,            0.008059,           0.0015422,             0.97571,               0.978,             0.97924,             0.86606,           0.0095366,           0.0045221,           0.0047205,            0.006898,            0.006898,            0.006898
                  96,            0.017157,           0.0082982,            0.001551,              0.9718,             0.97486,             0.98011,              0.8406,            0.010123,            0.004612,           0.0053575,            0.006865,            0.006865,            0.006865
                  97,             0.01739,           0.0082452,           0.0014556,             0.97364,               0.978,             0.97671,               0.853,           0.0096634,           0.0044596,           0.0047779,            0.006832,            0.006832,            0.006832
                  98,            0.017307,           0.0081296,           0.0014045,             0.97808,             0.97849,             0.97916,             0.85208,            0.010207,           0.0045931,           0.0045125,            0.006799,            0.006799,            0.006799
                  99,            0.017108,           0.0082779,           0.0014896,             0.97059,             0.97486,             0.97831,             0.85418,            0.010055,           0.0045819,           0.0038383,            0.006766,            0.006766,            0.006766
                 100,            0.016986,           0.0081449,           0.0014854,              0.9713,             0.97486,             0.97517,             0.85756,           0.0093915,           0.0044055,           0.0044443,            0.006733,            0.006733,            0.006733
                 101,            0.017259,            0.008215,           0.0016201,             0.98025,               0.978,             0.97814,             0.86587,           0.0092608,           0.0043278,           0.0040973,              0.0067,              0.0067,              0.0067
                 102,            0.016936,           0.0081088,           0.0014561,             0.97612,             0.98136,             0.97839,              0.8606,           0.0095632,           0.0044224,           0.0040955,            0.006667,            0.006667,            0.006667
                 103,             0.01662,           0.0081401,           0.0014961,             0.97591,             0.97171,             0.97672,             0.85735,           0.0092508,           0.0043411,           0.0044499,            0.006634,            0.006634,            0.006634
                 104,            0.016875,           0.0081855,           0.0013552,             0.97878,               0.978,             0.97713,             0.86501,           0.0091629,           0.0044509,           0.0042975,            0.006601,            0.006601,            0.006601
                 105,            0.016745,           0.0080019,           0.0013262,              0.9764,             0.97831,             0.97279,             0.83802,           0.0099161,           0.0044357,           0.0045068,            0.006568,            0.006568,            0.006568
                 106,            0.016411,           0.0080295,           0.0013188,             0.97606,             0.97292,             0.97638,             0.85261,            0.009455,           0.0046662,           0.0050121,            0.006535,            0.006535,            0.006535
                 107,            0.016315,           0.0082252,           0.0014628,             0.97524,             0.97146,             0.97444,             0.86778,           0.0092089,           0.0045106,           0.0044669,            0.006502,            0.006502,            0.006502
                 108,            0.016712,           0.0083428,           0.0013582,              0.9785,             0.97706,             0.97907,             0.85919,           0.0093265,           0.0044148,           0.0043898,            0.006469,            0.006469,            0.006469
                 109,            0.016835,           0.0082175,           0.0016298,             0.97946,             0.97833,             0.97854,             0.86311,           0.0093119,           0.0044152,           0.0045074,            0.006436,            0.006436,            0.006436
                 110,            0.016168,           0.0079874,           0.0012753,              0.9793,             0.97893,             0.97901,             0.86745,           0.0091086,           0.0041527,           0.0040533,            0.006403,            0.006403,            0.006403
                 111,            0.016253,           0.0080851,            0.001378,              0.9823,             0.98115,             0.97829,             0.86708,           0.0086488,           0.0042046,           0.0038712,             0.00637,             0.00637,             0.00637
                 112,            0.016343,           0.0078073,           0.0015629,             0.98119,             0.97895,              0.9759,             0.85763,            0.010171,           0.0045824,           0.0041677,            0.006337,            0.006337,            0.006337
                 113,            0.016237,           0.0078814,           0.0012988,             0.97273,             0.97511,             0.97595,             0.85373,            0.010008,           0.0045831,           0.0039948,            0.006304,            0.006304,            0.006304
                 114,            0.016136,            0.007964,           0.0012444,             0.97644,             0.97877,             0.98024,             0.86572,           0.0088131,           0.0043089,           0.0042948,            0.006271,            0.006271,            0.006271
                 115,            0.016134,           0.0077632,           0.0012081,             0.97635,             0.98115,             0.97872,             0.86382,           0.0091111,           0.0046654,           0.0040853,            0.006238,            0.006238,            0.006238
